snomedcode,Ethnicity,Grouping_16,Grouping_6
10292001,Guamians,16,5
108342005,South Asian AND/OR Australian aborigine,16,5
113170005,Aymara,16,5
113171009,Coushatta,16,5
13233008,Flathead,16,5
154182006,Other ethnic non-mixed (NMO),16,5
154183001,Brit. ethnic minor. spec.(NMO),16,5
154184007,Brit. ethnic minor. unsp (NMO),16,5
154186009,N African Arab &/or Iranian (NMO),16,5
154195001,Other ethnic NEC (NMO),16,5
154203007,Vietnamese,16,5
154209006,Other ethnic group,16,5
154212009,New Zealand ethnic groups,16,5
154215006,New Zealand Maori,16,5
154216007,Samoan,16,5
154217003,Cook Island Maori,16,5
154218008,Tongan,16,5
154219000,Niuean,16,5
154220006,Tokelauan,16,5
154221005,Fijian,16,5
154222003,Other Pacific ethnic group,16,5
154227009,Other New Zealand ethnic group,16,5
154229007,New Zealand ethnic group NOS,16,5
15801006,Kapingas,16,5
17789004,Papuans,16,5
18575005,Oceanian,16,5
186005001,Other ethnic non-mixed (NMO),16,5
186006000,British ethnic minority specified (NMO),16,5
186007009,British ethnic minority unspecified (NMO),16,5
186009007,N African Arab &/or Iranian (NMO),16,5
186018009,Other ethnic NEC (NMO),16,5
186026001,Vietnamese,16,5
186032006,Other ethnic group,16,5
186035008,New Zealand ethnic groups,16,5
186037000,Other European in New Zealand,16,5
186039002,New Zealand Maori,16,5
186040000,Cook Island Maori,16,5
186041001,Niuean,16,5
186042008,Tokelauan,16,5
186043003,Other Pacific ethnic group,16,5
186047002,Other New Zealand ethnic group,16,5
186048007,New Zealand ethnic group NOS,16,5
18664001,Xavante,16,5
19085009,Saipanese,16,5
20140003,Hawaiians,16,5
20291009,Lacandon,16,5
21047009,Aleuts,16,5
22007004,Shoshone,16,5
23517005,Polynesians,16,5
23534002,Melanesians,16,5
25750005,Admiralty Islanders,16,5
270464009,N African Arab/Iranian (NMO),16,5
27301002,Paez,16,5
275594002,North African Arab (NMO),16,5
275595001,Iranian (NMO),16,5
27700004,Iraqi,16,5
28821007,Easter Islanders,16,5
