dmd_type,dmd_id,dmd_name,bnf_code
VMP,323398002,Benzylpenicillin 600mg powder for solution for injection vials,0501011J0AAABAB
AMP,27871711000001100,Benzylpenicillin 600mg powder for solution for injection vials,0501011J0AAABAB
AMP,28038711000001103,Benzylpenicillin 600mg powder for solution for injection vials,0501011J0AAABAB
AMP,27732411000001100,Benzylpenicillin 600mg powder for solution for injection vials,0501011J0AAABAB
AMP,40833311000001109,Benzylpenicillin 600mg powder for solution for injection vials,0501011J0AAABAB
VMP,323396003,Benzylpenicillin 1.2g powder for solution for injection vials,0501011J0AAAFAF
AMP,27872411000001101,Benzylpenicillin 1.2g powder for solution for injection vials,0501011J0AAAFAF
AMP,28035511000001100,Benzylpenicillin 1.2g powder for solution for injection vials,0501011J0AAAFAF
AMP,27732211000001104,Benzylpenicillin 1.2g powder for solution for injection vials,0501011J0AAAFAF
AMP,3880811000001103,Crystapen 600mg powder for solution for injection vials,0501011J0BBABAB
AMP,4074311000001105,Crystapen 1.2g powder for solution for injection vials,0501011J0BBAFAF
VMP,323418000,Phenoxymethylpenicillin 125mg/5ml oral solution,0501011P0AAADAD
AMP,392411000001109,Phenoxymethylpenicillin 125mg/5ml oral solution,0501011P0AAADAD
AMP,683011000001103,Phenoxymethylpenicillin 125mg/5ml oral solution,0501011P0AAADAD
AMP,10711000001104,Phenoxymethylpenicillin 125mg/5ml oral solution,0501011P0AAADAD
AMP,9804611000001105,Phenoxymethylpenicillin 125mg/5ml oral solution,0501011P0AAADAD
AMP,10452211000001101,Phenoxymethylpenicillin 125mg/5ml oral solution,0501011P0AAADAD
AMP,21038311000001109,Phenoxymethylpenicillin 125mg/5ml oral solution,0501011P0AAADAD
AMP,20129511000001108,Phenoxymethylpenicillin 125mg/5ml oral solution,0501011P0AAADAD
AMP,24410611000001107,Phenoxymethylpenicillin 125mg/5ml oral solution,0501011P0AAADAD
AMP,21532411000001101,Phenoxymethylpenicillin 125mg/5ml oral solution,0501011P0AAADAD
AMP,38081711000001100,Phenoxymethylpenicillin 125mg/5ml oral solution,0501011P0AAADAD
AMP,604211000001105,Phenoxymethylpenicillin 125mg/5ml oral solution,0501011P0AAADAD
AMP,11144611000001104,Phenoxymethylpenicillin 125mg/5ml oral solution,0501011P0AAADAD
AMP,610511000001102,Phenoxymethylpenicillin 125mg/5ml oral solution,0501011P0AAADAD
AMP,39177211000001100,Phenoxymethylpenicillin 125mg/5ml oral solution,0501011P0AAADAD
AMP,19736211000001105,Phenoxymethylpenicillin 125mg/5ml oral solution,0501011P0AAADAD
AMP,738911000001105,Phenoxymethylpenicillin 125mg/5ml oral solution,0501011P0AAADAD
AMP,18719011000001104,Phenoxymethylpenicillin 125mg/5ml oral solution,0501011P0AAADAD
AMP,15311000001105,Phenoxymethylpenicillin 125mg/5ml oral solution,0501011P0AAADAD
AMP,808511000001109,Phenoxymethylpenicillin 125mg/5ml oral solution,0501011P0AAADAD
